id,carat,cut,color,clarity,depth,table,price,x,y,z,g
30957,0.32,Ideal,E,SI2,62,55,449,4.36,4.41,2.72,309.0
30958,0.32,Ideal,I,VS2,62.5,57,449,4.35,4.39,2.73,309.0
30959,0.32,Ideal,I,VS2,62,57,449,4.36,4.41,2.72,309.0
30960,0.32,Very Good,I,VS2,63,56,449,4.38,4.42,2.77,309.0
30961,0.4,Very Good,H,VS2,62.1,56,746,4.72,4.75,2.94,309.0
30962,0.46,Ideal,J,VS2,61.4,56,746,4.96,5,3.06,309.0
30963,0.36,Ideal,G,VS1,61.3,56,746,4.6,4.64,2.83,309.0
30964,0.36,Ideal,G,VS1,61.1,55,746,4.63,4.66,2.84,309.0
30965,0.37,Ideal,F,SI1,61.6,56,746,4.61,4.65,2.85,309.0
30966,0.39,Premium,G,SI2,62.7,54,746,4.71,4.64,2.93,309.0
30967,0.39,Very Good,J,VS2,63.3,56,746,4.63,4.6,2.92,309.0
30968,0.38,Ideal,I,SI1,62.3,56,746,4.63,4.58,2.87,309.0
30969,0.38,Premium,I,SI1,60.2,60,746,4.68,4.65,2.81,309.0
30970,0.38,Premium,I,SI1,60.5,58,746,4.72,4.67,2.84,309.0
30971,0.39,Premium,J,VS2,61.3,60,746,4.68,4.65,2.86,309.0
30972,0.39,Ideal,J,VS2,61.4,57,746,4.72,4.66,2.88,309.0
30973,0.37,Very Good,G,VS1,59.2,61,746,4.63,4.7,2.76,309.0
30974,0.4,Very Good,D,VS2,62.3,58,746,4.69,4.72,2.93,309.0
30975,0.38,Very Good,F,VS1,61.4,61,746,4.66,4.69,2.87,309.0
30976,0.37,Premium,F,VS2,60.6,58,746,4.63,4.67,2.82,309.0
30977,0.37,Ideal,F,VS2,60.6,56,746,4.63,4.64,2.81,309.0
30978,0.37,Premium,F,VS2,59.7,59,746,4.64,4.68,2.78,309.0
30979,0.37,Premium,F,VS2,61.9,58,746,4.54,4.6,2.83,309.0
30980,0.37,Very Good,F,VS2,61.2,60,746,4.59,4.63,2.82,309.0
30981,0.37,Premium,F,VS2,61.9,59,746,4.57,4.61,2.84,309.0
30982,0.37,Good,F,VS2,63.3,56,746,4.56,4.63,2.91,309.0
30983,0.37,Premium,F,VS2,62.7,58,746,4.55,4.58,2.86,309.0
30984,0.37,Good,G,VS1,63.1,56,746,4.57,4.59,2.89,309.0
30985,0.37,Premium,G,VS1,61.4,58,746,4.58,4.61,2.82,309.0
30986,0.37,Very Good,G,VS1,61.5,58,746,4.57,4.6,2.82,309.0
30987,0.37,Ideal,F,VS2,61.1,57,746,4.63,4.67,2.84,309.0
30988,0.37,Very Good,F,VS2,61,58,746,4.61,4.63,2.82,309.0
30989,0.37,Very Good,H,VVS2,62.2,59,746,4.54,4.56,2.83,309.0
30990,0.37,Premium,H,VVS2,61.3,58,746,4.6,4.63,2.83,309.0
30991,0.37,Ideal,F,VS2,61.4,56,746,4.59,4.63,2.83,309.0
30992,0.37,Premium,F,VS2,59.8,59,746,4.63,4.66,2.78,309.0
30993,0.37,Premium,G,VS1,59.5,58,746,4.67,4.71,2.79,309.0
30994,0.37,Premium,F,VS2,61.2,58,746,4.63,4.69,2.85,309.0
30995,0.3,Ideal,G,VVS1,60.4,58,747,4.36,4.38,2.64,309.0
30996,0.3,Ideal,G,VVS1,61.7,55,747,4.31,4.35,2.67,309.0
30997,0.41,Ideal,I,VS2,61.5,55,747,4.8,4.82,2.96,309.0
30998,0.35,Ideal,F,VS2,62.1,54,747,4.55,4.58,2.83,309.0
30999,0.36,Ideal,E,VS2,61,54,747,4.6,4.64,2.82,309.0
31000,0.36,Ideal,E,VS1,61.4,56,747,4.59,4.63,2.83,310.0
31001,0.35,Ideal,E,VS1,62.3,57,747,4.51,4.55,2.82,310.0
31002,0.37,Ideal,F,SI1,61.6,55,747,4.65,4.67,2.87,310.0
31003,0.32,Very Good,E,VVS1,59,61,748,4.44,4.47,2.63,310.0
31004,0.41,Good,H,SI1,64.3,54,748,4.72,4.68,3.02,310.0
31005,0.45,Ideal,I,VS2,61.3,55,748,4.92,4.96,3.03,310.0
31006,0.39,Ideal,G,SI1,61.3,54,748,4.73,4.77,2.91,310.0
31007,0.29,Ideal,F,IF,61.9,56,748,4.27,4.3,2.65,310.0
31008,0.35,Ideal,F,SI1,62.4,55,748,4.55,4.52,2.83,310.0
31009,0.35,Premium,F,SI1,60.2,58,748,4.6,4.54,2.75,310.0
31010,0.35,Ideal,F,SI1,62.2,56,748,4.52,4.48,2.8,310.0
31011,0.35,Premium,F,SI1,61.7,58,748,4.54,4.51,2.79,310.0
31012,0.35,Premium,F,SI1,62.3,58,748,4.53,4.49,2.81,310.0
31013,0.35,Ideal,F,SI1,62.5,54,748,4.52,4.5,2.82,310.0
31014,0.35,Good,F,SI1,63.6,54,748,4.52,4.51,2.87,310.0
31015,0.35,Very Good,F,SI1,63.1,56,748,4.51,4.46,2.83,310.0
31016,0.31,Very Good,E,VVS2,62.4,56,749,4.32,4.35,2.7,310.0
31017,0.31,Very Good,G,VVS1,61.5,55,749,4.36,4.4,2.69,310.0
31018,0.31,Ideal,E,VVS1,59.5,60,749,4.43,4.45,2.64,310.0
31019,0.41,Good,F,VS2,59.7,63,749,4.8,4.85,2.88,310.0
31020,0.31,Ideal,F,VS2,61.6,56,749,4.39,4.35,2.69,310.0
31021,0.37,Premium,I,VS1,61.4,59,749,4.61,4.55,2.81,310.0
31022,0.37,Good,H,VS2,63.7,55,749,4.56,4.54,2.9,310.0
31023,0.37,Premium,H,VS2,59.5,61,749,4.67,4.64,2.77,310.0
31024,0.31,Premium,G,VS1,58.2,61,749,4.45,4.42,2.58,310.0
31025,0.31,Ideal,G,VS1,61.9,55,749,4.37,4.36,2.7,310.0
31026,0.31,Premium,F,VS2,58.3,61,749,4.48,4.44,2.6,310.0
31027,0.31,Premium,F,VS2,59.4,58,749,4.45,4.37,2.62,310.0
31028,0.31,Ideal,F,VS2,60.8,57,749,4.41,4.38,2.67,310.0
31029,0.31,Ideal,F,VS2,62.2,56,749,4.39,4.36,2.72,310.0
31030,0.31,Premium,F,VS2,60.7,61,749,4.4,4.36,2.66,310.0
31031,0.31,Ideal,F,VS2,61.6,56,749,4.38,4.35,2.69,310.0
31032,0.31,Ideal,F,VS2,61.9,57,749,4.34,4.32,2.68,310.0
31033,0.31,Very Good,F,VS2,63.5,55,749,4.32,4.31,2.74,310.0
31034,0.31,Premium,F,VS2,63,57,749,4.33,4.27,2.71,310.0
31035,0.31,Good,F,VS2,63.6,54,749,4.33,4.28,2.74,310.0
31036,0.31,Good,F,VS2,63.7,59,749,4.31,4.26,2.73,310.0
31037,0.37,Premium,H,VS2,61.4,58,749,4.64,4.61,2.84,310.0
31038,0.31,Very Good,G,VS1,63.3,57,749,4.31,4.28,2.72,310.0
31039,0.34,Ideal,D,VS1,60.7,57,749,4.51,4.55,2.75,310.0
31040,0.34,Ideal,D,VS1,62.6,56,749,4.49,4.52,2.82,310.0
31041,0.34,Ideal,D,VS1,61.4,56,749,4.5,4.53,2.77,310.0
31042,0.38,Very Good,I,VS1,62,55,750,4.65,4.67,2.89,310.0
31043,0.39,Ideal,I,VVS2,62,56,750,4.67,4.72,2.91,310.0
