id,carat,cut,color,clarity,depth,table,price,x,y,z,g
20601,1.01,Premium,F,VVS2,59.9,58,8905,6.54,6.49,3.9,206.0
20602,1.24,Very Good,F,VS2,60.9,60,8907,6.96,6.93,4.23,206.0
20603,1.5,Ideal,I,SI1,61.8,57,8907,7.3,7.34,4.53,206.0
20604,1.5,Good,E,SI2,63,59,8910,7.18,7.24,4.54,206.0
20605,1.5,Good,E,SI2,63.9,58,8910,7.21,7.26,4.62,206.0
20606,1.5,Good,I,VS1,63.3,58,8910,7.19,7.24,4.57,206.0
20607,1,Very Good,E,VVS2,63.5,55,8910,6.36,6.31,4.02,206.0
20608,1.7,Ideal,D,SI2,60.7,56,8911,7.78,7.71,4.7,206.0
20609,1.2,Premium,G,VS1,62,58,8911,6.76,6.73,4.18,206.0
20610,1.53,Premium,I,SI1,62.9,59,8911,7.36,7.32,4.62,206.0
20611,1.53,Premium,I,SI1,60.8,59,8911,7.54,7.49,4.57,206.0
20612,1.53,Premium,I,SI1,61.5,59,8911,7.39,7.32,4.52,206.0
20613,1.14,Very Good,F,VVS2,63.3,56,8912,6.56,6.71,4.2,206.0
20614,1.01,Very Good,E,VVS2,63.3,58,8912,6.39,6.31,4.02,206.0
20615,1.27,Ideal,G,VS2,62,58,8915,6.89,6.95,4.29,206.0
20616,1.3,Ideal,H,VS1,61.3,59,8915,6.97,7.03,4.29,206.0
20617,1.52,Good,H,SI1,64.1,59,8915,7.11,7.18,4.58,206.0
20618,1.51,Very Good,E,SI2,60.6,58,8916,7.41,7.43,4.5,206.0
20619,1.54,Premium,I,VS2,61.7,59,8917,7.4,7.34,4.55,206.0
20620,1.51,Very Good,I,VS1,61.1,63,8918,7.38,7.32,4.49,206.0
20621,1.23,Premium,G,VS1,61.3,58,8919,6.89,6.87,4.22,206.0
20622,1.23,Ideal,H,VVS1,61.4,56,8920,6.89,6.91,4.24,206.0
20623,1.5,Good,I,VS2,61.3,61,8920,7.31,7.38,4.5,206.0
20624,1.04,Ideal,G,IF,62.1,54,8921,6.53,6.55,4.06,206.0
20625,1.01,Very Good,F,VVS2,62.3,56,8922,6.38,6.42,3.99,206.0
20626,1.01,Very Good,F,VVS2,61.8,58,8922,6.44,6.48,3.99,206.0
20627,1.31,Ideal,G,VS2,61.9,56,8922,7.05,7.08,4.37,206.0
20628,1.54,Ideal,G,SI2,62.3,60,8923,7.29,7.34,4.56,206.0
20629,1,Premium,F,VVS2,60.6,54,8924,6.56,6.52,3.96,206.0
20630,1,Premium,F,VVS2,60.6,54,8924,6.56,6.52,3.96,206.0
20631,1.59,Ideal,J,VS1,62.1,55,8925,7.47,7.51,4.65,206.0
20632,1.39,Premium,F,SI1,62.4,59,8925,7.14,7.09,4.44,206.0
20633,1.36,Ideal,G,SI1,61,56,8927,7.17,7.2,4.38,206.0
20634,1.27,Very Good,F,VS2,60.7,61,8928,6.97,7.01,4.24,206.0
20635,1.28,Ideal,H,VVS1,61.3,55,8928,7.01,7.06,4.31,206.0
20636,1.2,Very Good,G,VVS1,63.3,59,8928,6.72,6.64,4.23,206.0
20637,1.24,Very Good,F,VS2,59.6,59,8929,7,7.07,4.19,206.0
20638,1.51,Premium,J,VVS2,62.5,59,8930,7.34,7.29,4.57,206.0
20639,1.51,Premium,J,VVS2,62.9,58,8930,7.33,7.21,4.57,206.0
20640,1.51,Premium,J,VVS2,62.6,59,8930,7.33,7.31,4.58,206.0
20641,1.34,Ideal,D,SI1,62.2,57,8930,7.07,6.95,4.36,206.0
20642,1.5,Very Good,H,SI1,62.9,57,8931,7.24,7.28,4.57,206.0
20643,1.05,Ideal,G,VVS1,61.2,57,8931,6.54,6.57,4.01,206.0
20644,1.1,Ideal,G,VVS2,62,56,8932,6.68,6.64,4.13,206.0
20645,1.5,Very Good,H,VS2,61.5,57,8936,7.32,7.37,4.52,206.0
20646,1.58,Premium,H,VS2,60.5,58,8936,7.57,7.54,4.57,206.0
20647,1.2,Premium,G,VS1,63,61,8938,6.62,6.59,4.16,206.0
20648,1.52,Fair,F,SI2,56.3,64,8938,7.68,7.62,4.31,206.0
20649,1.52,Very Good,I,VS2,63.3,61,8938,7.27,7.23,4.59,206.0
20650,1.02,Very Good,F,VVS2,62.9,59,8940,6.37,6.42,4.02,206.0
20651,1.27,Very Good,G,VVS2,62.5,57,8941,6.86,6.91,4.3,206.0
20652,1.25,Very Good,G,VS2,62.2,57,8941,6.84,6.88,4.27,206.0
20653,1.26,Ideal,H,VVS2,61.8,56,8941,6.9,6.93,4.28,206.0
20654,1.01,Good,D,VVS2,63.5,57,8943,6.32,6.35,4.02,206.0
20655,1.01,Good,D,VVS2,63.7,57,8943,6.29,6.36,4.03,206.0
20656,1.53,Ideal,J,VS1,62.4,54,8943,7.34,7.38,4.59,206.0
20657,1.04,Premium,F,VVS2,62.5,58,8946,6.46,6.37,4.01,206.0
20658,1.05,Ideal,G,VVS1,60.7,55,8946,6.6,6.65,4.02,206.0
20659,1.17,Ideal,G,VVS2,61.7,55,8947,6.74,6.77,4.17,206.0
20660,2.01,Very Good,J,SI2,59.3,63,8949,8.28,8.22,4.89,206.0
20661,1,Very Good,F,VVS2,63,59,8950,6.33,6.36,4,206.0
20662,1.21,Ideal,H,VVS2,61.3,56,8950,6.85,6.89,4.21,206.0
20663,1.22,Premium,D,VS2,59.6,60,8950,6.97,6.95,4.15,206.0
20664,1.39,Very Good,H,VS2,59.5,61,8951,7.27,7.33,4.34,206.0
20665,1.51,Ideal,H,SI2,61.9,56,8951,7.31,7.36,4.54,206.0
20666,1.51,Good,I,VS2,62.2,59,8951,7.19,7.3,4.51,206.0
20667,1.51,Very Good,I,VS2,63,60,8952,7.25,7.3,4.58,206.0
20668,1.33,Very Good,G,VS2,61.7,59,8953,7.04,7.09,4.36,206.0
20669,1.14,Ideal,F,VS1,61.1,55,8953,6.74,6.78,4.13,206.0
20670,1.06,Ideal,F,VVS2,62.1,57,8954,6.5,6.54,4.05,206.0
20671,1.56,Premium,H,SI2,58.8,59,8954,7.64,7.6,4.48,206.0
20672,1.64,Fair,E,SI2,63.1,60,8954,7.58,7.5,4.75,206.0
20673,1.3,Ideal,H,VVS2,61.5,55,8954,7.07,7.03,4.34,206.0
20674,1.03,Ideal,G,VVS1,59.9,61,8955,6.56,6.63,3.95,206.0
20675,1.02,Ideal,G,IF,62.3,57,8955,6.43,6.5,4.03,206.0
20676,1.01,Good,F,VVS2,61.1,65,8956,6.38,6.42,3.91,206.0
20677,1.01,Ideal,G,IF,62.2,61,8957,6.34,6.4,3.96,206.0
20678,1,Ideal,F,VVS2,61.7,53,8958,6.46,6.48,3.99,206.0
20679,1.23,Premium,F,VS2,60.8,59,8959,6.9,6.94,4.21,206.0
20680,1.1,Ideal,D,VS2,62,56,8959,6.58,6.61,4.09,206.0
20681,1.55,Ideal,J,VS1,59.5,60,8959,7.53,7.56,4.49,206.0
20682,1.26,Ideal,H,VS1,61,57,8959,6.97,7.03,4.27,206.0
20683,1,Good,E,VVS2,57.8,61,8960,6.55,6.46,3.76,206.0
20684,1.12,Very Good,G,IF,60.9,57,8962,6.68,6.79,4.1,206.0
20685,1.2,Premium,F,VS2,62.8,59,8964,6.78,6.69,4.23,206.0
20686,1.54,Premium,G,SI2,61.5,61,8969,7.42,7.35,4.54,206.0
20687,1.21,Very Good,D,VS2,62.6,59,8969,6.72,6.79,4.23,206.0
20688,1.54,Premium,I,SI1,60.8,61,8969,7.48,7.41,4.53,206.0
20689,1.54,Premium,G,SI2,62.4,57,8969,7.39,7.36,4.6,206.0
20690,1.43,Ideal,G,SI1,62.6,57,8969,7.18,7.14,4.48,206.0
20691,1.23,Ideal,G,VS1,61.4,56,8970,6.91,6.96,4.26,206.0
20692,1.09,Ideal,G,VVS2,61.5,57,8970,6.62,6.65,4.08,206.0
20693,1.23,Premium,G,VVS2,59.6,59,8971,6.98,6.95,4.15,206.0
20694,1.01,Ideal,F,VVS2,61.6,56,8971,6.43,6.49,3.98,206.0
20695,1.53,Ideal,I,SI1,61.9,54,8971,7.43,7.5,1.53,206.0
20696,1.03,Ideal,E,VVS2,61.9,57,8972,6.5,6.46,4.01,206.0
20697,1.51,Very Good,G,SI2,61.7,54,8973,7.37,7.41,4.56,206.0
20698,1.12,Good,G,IF,59.6,56,8973,6.8,6.85,4.07,206.0
20699,1.5,Very Good,I,VS2,60.1,60,8974,7.38,7.35,4.43,206.0
20700,1.22,Very Good,G,VVS2,61.9,58,8975,6.84,6.85,4.24,207.0
20701,0.31,Very Good,G,VS1,62.9,57,625,4.3,4.32,2.71,207.0
20702,0.31,Very Good,H,VVS2,61.9,58,625,4.3,4.33,2.67,207.0
20703,0.31,Ideal,G,VS1,61,55,625,4.39,4.43,2.69,207.0
20704,0.31,Premium,F,VS2,61.6,58,625,4.35,4.38,2.69,207.0
20705,0.31,Ideal,H,VVS2,62.3,55,625,4.36,4.37,2.72,207.0
20706,0.31,Ideal,F,VS2,60.8,57,625,4.36,4.39,2.66,207.0
20707,0.31,Premium,H,VVS2,61.4,59,625,4.35,4.38,2.68,207.0
20708,0.31,Ideal,F,VS2,62.1,57,625,4.34,4.36,2.7,207.0
20709,0.31,Premium,H,VVS2,62.6,60,625,4.29,4.33,2.7,207.0
20710,0.31,Premium,F,VS2,61.3,59,625,4.31,4.34,2.65,207.0
20711,0.31,Premium,G,VS1,61.8,59,625,4.32,4.35,2.68,207.0
20712,0.31,Very Good,G,VS1,60.8,61,625,4.33,4.35,2.64,207.0
20713,0.31,Ideal,G,VS1,62.5,57,625,4.34,4.37,2.72,207.0
20714,0.31,Ideal,G,VS1,61.4,56,625,4.36,4.37,2.68,207.0
20715,0.31,Ideal,F,VS2,61.9,54,625,4.35,4.38,2.7,207.0
20716,0.31,Very Good,H,VVS2,61.9,58,625,4.33,4.36,2.69,207.0
20717,0.31,Ideal,H,VVS2,62.4,56,625,4.34,4.38,2.72,207.0
20718,0.31,Good,G,VS1,63.7,56,625,4.27,4.3,2.73,207.0
20719,0.31,Premium,G,VS1,62.4,58,625,4.31,4.34,2.7,207.0
20720,0.31,Very Good,H,VVS2,62.6,58,625,4.28,4.31,2.69,207.0
20721,0.31,Premium,F,VS2,62,58,625,4.31,4.37,2.69,207.0
20722,0.31,Premium,F,VS2,62.7,59,625,4.3,4.34,2.71,207.0
20723,0.31,Ideal,F,VS2,62.4,56,625,4.31,4.34,2.7,207.0
20724,0.31,Very Good,F,VS2,62.8,56,625,4.28,4.32,2.7,207.0
20725,0.31,Very Good,F,VS2,61.4,55,625,4.32,4.34,2.66,207.0
20726,0.31,Ideal,F,VS2,61.9,55,625,4.37,4.39,2.71,207.0
20727,0.31,Premium,F,VS2,62.3,59,625,4.29,4.34,2.69,207.0
20728,0.31,Ideal,F,VS2,61.3,57,625,4.3,4.34,2.65,207.0
20729,0.31,Premium,F,VS2,61.7,58,625,4.34,4.38,2.69,207.0
20730,0.31,Good,G,VS1,63.2,56,625,4.29,4.32,2.72,207.0
20731,1.51,Good,I,VS1,65.9,56,8975,7.02,7.09,4.65,207.0
20732,1.51,Good,I,VS1,64,60,8975,7.1,7.19,4.57,207.0
20733,1.59,Ideal,I,SI2,60.5,55,8975,7.62,7.55,4.59,207.0
20734,1.59,Ideal,D,SI2,61.6,55,8975,7.48,7.45,4.6,207.0
20735,1.01,Good,E,VVS2,63.3,55,8976,6.36,6.41,4.04,207.0
20736,1.1,Ideal,F,VS2,60.7,57,8977,6.66,6.7,4.05,207.0
20737,1.36,Ideal,G,SI1,60.9,56,8977,7.15,7.16,4.36,207.0
20738,1.4,Ideal,H,VS2,63,56,8977,7.13,7.07,4.47,207.0
20739,1.61,Premium,I,SI1,62,58,8978,7.46,7.51,4.64,207.0
20740,0.9,Ideal,D,VVS1,62,56,8979,6.16,6.19,3.83,207.0
20741,1.31,Premium,G,VS2,60.3,59,8979,7.12,7.08,4.28,207.0
20742,1.55,Ideal,G,SI2,60.5,60,8981,7.46,7.49,4.52,207.0
20743,1.51,Ideal,J,SI1,62,55,8981,7.42,7.31,4.57,207.0
20744,1.53,Ideal,I,SI1,62.4,57,8981,7.33,7.37,4.59,207.0
20745,1.05,Ideal,E,VVS2,62.4,56,8982,6.49,6.52,4.06,207.0
20746,1.2,Very Good,F,VS1,62.6,59,8983,6.64,6.71,4.18,207.0
20747,1.24,Ideal,F,VS2,61.7,53,8983,6.93,6.9,4.27,207.0
20748,1.21,Ideal,G,VS1,61.4,56,8985,6.9,6.84,4.22,207.0
20749,1.5,Premium,E,SI2,62.7,56,8988,7.38,7.33,4.61,207.0
20750,1.36,Ideal,H,SI1,61.5,56,8989,7.12,7.16,4.39,207.0
20751,1.02,Very Good,F,VVS1,62.4,58,8990,6.38,6.41,3.99,207.0
20752,1.2,Good,F,VS2,62.3,57,8990,6.74,6.78,4.21,207.0
20753,1.12,Ideal,E,VS1,61.3,56,8991,6.7,6.72,4.11,207.0
20754,1.59,Very Good,E,SI2,61.1,57,8994,7.48,7.54,4.59,207.0
20755,1.19,Good,G,VVS2,61.1,61,8995,6.86,6.83,4.18,207.0
20756,1.53,Premium,E,SI2,58.9,59,8996,7.63,7.55,4.47,207.0
20757,1.53,Fair,I,VS2,57.7,69,8996,7.6,7.51,4.36,207.0
20758,1.51,Premium,I,VS2,62.3,60,8997,7.35,7.29,4.56,207.0
20759,1.03,Very Good,F,VVS2,61.5,55,8998,6.48,6.57,4.01,207.0
20760,1.07,Ideal,E,VS1,60,58,8998,6.66,6.7,4.01,207.0
20761,1.08,Premium,D,VS1,61,59,8999,6.66,6.61,4.05,207.0
20762,1.05,Ideal,G,VVS2,60.4,54,9000,6.6,6.65,4,207.0
20763,1.53,Very Good,D,SI2,62.9,56,9001,7.25,7.31,4.58,207.0
20764,1.01,Very Good,E,VVS2,61.5,58,9002,6.4,6.44,3.95,207.0
20765,1.22,Ideal,G,VS1,60.7,57,9002,6.93,6.94,4.21,207.0
20766,1.21,Premium,G,VVS1,60.1,61,9003,6.92,6.85,4.14,207.0
