id,carat,cut,color,clarity,depth,table,price,x,y,z,g
10081,1.07,Good,D,SI2,61,62,4710,6.6,6.68,4.05,100.0
10082,1.16,Ideal,G,SI2,61.7,56,4710,6.82,6.76,4.18,100.0
10083,0.95,Very Good,E,SI1,62.8,59,4711,6.21,6.25,3.91,100.0
10084,1.23,Very Good,H,SI2,63.2,58,4711,6.8,6.74,4.28,100.0
10085,1.2,Very Good,G,SI2,61.2,59,4712,6.78,6.84,4.17,100.0
10086,1.12,Ideal,G,SI2,62.4,56,4712,6.63,6.67,4.15,100.0
10087,1.02,Ideal,E,SI2,60.3,57,4712,6.5,6.53,3.95,100.0
10088,1,Good,F,SI1,63.3,61,4712,6.29,6.31,3.99,100.0
10089,1,Very Good,F,SI1,61.8,59,4712,6.33,6.38,3.93,100.0
10090,1.02,Good,E,SI2,63.4,57,4712,6.41,6.43,4.07,100.0
10091,1.02,Good,E,SI2,63.2,56,4712,6.37,6.41,4.04,100.0
10092,1.02,Very Good,D,SI2,62.7,59,4712,6.36,6.44,4.01,100.0
10093,0.9,Good,F,SI1,63.6,55,4712,6.15,6.12,3.9,100.0
10094,1.13,Ideal,G,SI2,61.3,57,4712,6.73,6.67,4.11,100.0
10095,1.1,Premium,G,SI1,59.6,60,4712,6.74,6.7,4,100.0
10096,0.9,Very Good,D,VS2,63.2,58,4712,6.16,6.09,3.87,100.0
10097,1,Ideal,H,SI2,61.4,60,4713,6.35,6.41,3.92,100.0
10098,1.05,Ideal,E,SI2,60.3,61,4714,6.56,6.6,3.97,100.0
10099,1.22,Ideal,I,SI2,60.7,57,4714,6.92,6.88,4.19,100.0
10100,1.31,Very Good,G,SI2,63.4,58,4714,6.91,6.8,4.35,101.0
10101,0.9,Very Good,F,VS2,63.2,59,4715,6.08,6.04,3.83,101.0
10102,0.9,Very Good,F,VS2,63.2,57,4715,6.12,6.07,3.85,101.0
10103,1.2,Premium,J,VS2,60.3,59,4715,6.9,6.94,4.17,101.0
10104,1.1,Very Good,F,SI2,59.1,57,4715,6.72,6.82,4,101.0
10105,0.73,Very Good,D,VVS1,61.8,61,4716,5.7,5.73,3.53,101.0
10106,1.07,Very Good,H,SI2,62.1,58,4716,6.53,6.57,4.07,101.0
10107,1.2,Premium,J,SI1,60,61,4717,6.89,6.84,4.12,101.0
10108,1.08,Premium,H,SI2,61.2,58,4717,6.62,6.58,4.04,101.0
10109,1,Very Good,J,VVS1,63.5,59,4717,6.34,6.29,4.01,101.0
10110,1.17,Fair,H,SI2,60,66,4717,6.86,6.78,4.09,101.0
10111,0.9,Premium,D,VS2,61.6,62,4717,6.12,6.09,3.76,101.0
10112,0.9,Good,D,VS2,57.7,61,4717,6.34,6.32,3.65,101.0
10113,1.04,Premium,F,SI2,60.2,58,4717,6.6,6.55,3.96,101.0
10114,1.02,Very Good,G,SI1,63.2,59,4718,6.41,6.37,4.04,101.0
10115,1.02,Premium,G,SI1,62.3,59,4718,6.44,6.4,4,101.0
10116,1.02,Premium,G,SI1,63,55,4718,6.45,6.4,4.05,101.0
10117,1.02,Premium,G,SI1,60.8,58,4718,6.5,6.46,3.94,101.0
10118,1.02,Premium,G,SI1,61,59,4718,6.48,6.44,3.94,101.0
10119,1.02,Very Good,D,SI2,63.4,59,4718,6.41,6.37,4.05,101.0
10120,1.02,Premium,D,SI2,61.5,56,4718,6.51,6.47,3.99,101.0
10121,1.02,Premium,D,SI2,60.3,58,4718,6.52,6.48,3.92,101.0
10122,1.01,Very Good,G,SI1,60,58,4719,6.51,6.55,3.92,101.0
10123,1.01,Very Good,G,SI1,60.2,58,4719,6.5,6.59,3.94,101.0
10124,1.01,Good,D,SI2,63.6,57,4719,6.35,6.39,4.05,101.0
10125,1.01,Premium,G,SI1,59.8,58,4719,6.54,6.58,3.92,101.0
10126,1.01,Very Good,D,SI2,61.5,56,4719,6.39,6.46,3.95,101.0
10127,1,Very Good,E,SI1,61,61,4719,6.4,6.45,3.92,101.0
10128,1.11,Ideal,H,SI2,62.6,56,4719,6.58,6.65,4.14,101.0
10129,1.06,Premium,F,SI2,62.5,58,4719,6.54,6.41,4.05,101.0
10130,1.32,Premium,I,VS1,62.4,58,4719,7.01,6.96,4.36,101.0
10131,1.12,Premium,H,SI1,61.6,58,4719,6.72,6.62,4.11,101.0
10132,0.91,Very Good,D,VS2,62.7,59,4720,6.13,6.16,3.85,101.0
10133,1.12,Ideal,F,SI2,61.6,57,4720,6.68,6.66,4.11,101.0
10134,0.97,Premium,D,SI1,62,60,4721,6.25,6.29,3.89,101.0
10135,1.06,Very Good,F,SI1,62.5,58,4721,6.46,6.5,4.05,101.0
10136,1,Ideal,F,SI2,62.7,57,4721,6.37,6.42,4.01,101.0
10137,0.92,Very Good,H,VS1,59.7,63,4721,6.34,6.29,3.77,101.0
10138,1,Good,H,VS2,63.6,61,4722,6.25,6.21,3.96,101.0
10139,1.05,Ideal,I,SI2,61.8,59,4723,6.53,6.49,4.02,101.0
10140,1.04,Premium,D,SI2,61,59,4724,6.51,6.54,3.98,101.0
10141,1.04,Very Good,G,SI1,59.2,61,4724,6.63,6.68,3.94,101.0
10142,1.12,Very Good,I,SI1,61.7,58.1,4724,6.6,6.66,4.09,101.0
10143,1.02,Ideal,H,SI1,60,59,4724,6.56,6.55,3.93,101.0
10144,0.9,Ideal,F,SI1,61.3,56,4724,6.21,6.23,3.81,101.0
10145,0.93,Ideal,D,SI1,61.6,57,4724,6.27,6.33,3.88,101.0
10146,1.14,Ideal,I,SI1,61.8,57,4724,6.76,6.68,4.15,101.0
10147,1,Premium,H,SI1,62.7,58,4724,6.41,6.32,3.99,101.0
10148,1.25,Good,I,SI2,63.9,56,4725,6.81,6.77,4.34,101.0
10149,1.17,Ideal,G,SI2,61.1,56,4725,6.8,6.86,4.17,101.0
10150,1,Very Good,G,SI2,62.6,58,4725,6.34,6.38,3.98,101.0
10151,1.1,Fair,D,SI2,64.6,54,4725,6.56,6.49,4.22,101.0
10152,1.1,Premium,I,SI1,61.2,61,4725,6.66,6.61,4.01,101.0
10153,1.1,Ideal,H,SI2,63.1,58,4725,6.54,6.53,4.12,101.0
10154,1.1,Premium,D,SI2,62.4,58,4725,6.6,6.57,4.11,101.0
10155,0.97,Premium,F,SI1,59.9,59,4726,6.39,6.36,3.82,101.0
10156,1.01,Very Good,D,SI2,61.9,58,4727,6.43,6.49,4,101.0
10157,1.02,Very Good,H,SI1,61.6,58,4727,6.49,6.54,4.01,101.0
10158,1,Good,D,SI2,61.1,61,4727,6.37,6.43,3.91,101.0
10159,1.23,Good,J,VS2,63.6,60,4727,6.77,6.73,4.29,101.0
10160,1.07,Very Good,I,SI1,59.1,59,4728,6.68,6.71,3.96,101.0
10161,0.91,Premium,E,SI1,59.8,59,4729,6.28,6.23,3.74,101.0
10162,0.9,Very Good,D,VS2,58.8,61,4729,6.27,6.32,3.7,101.0
10163,1.05,Ideal,F,SI1,61.8,57,4729,6.51,6.54,4.03,101.0
10164,1.05,Good,F,SI1,57.9,62,4729,6.68,6.73,3.88,101.0
10165,1,Premium,D,SI2,62.4,58,4730,6.33,6.36,3.96,101.0
10166,1.38,Fair,G,SI2,61.2,59,4730,7.19,7.13,4.38,101.0
10167,1.03,Premium,E,SI2,61.8,56,4730,6.5,6.47,4.01,101.0
10169,0.91,Ideal,G,SI1,61.9,56,4731,6.22,6.18,3.84,101.0
10170,1,Good,H,VS1,62.1,64,4732,6.4,6.18,3.91,101.0
10171,1.3,Premium,H,SI2,60.4,61,4732,7.09,7.04,4.27,101.0
10172,1,Fair,F,VS2,66.7,57,4732,6.11,6.04,4.05,101.0
